frameIndex,renderDurationMs,heapUsedMB,rssMB
758,52,6.88,118.98
759,48,6.96,126.89
760,57,7.05,134.80
761,64,7.14,142.72
762,58,7.23,150.63
763,53,7.31,158.55
764,57,7.40,166.48
765,56,6.70,103.16
766,55,6.79,111.08
767,49,6.88,118.99
768,51,6.96,126.91
769,52,7.05,134.82
770,55,7.14,142.73
771,51,7.23,150.65
772,52,7.31,158.56
773,51,7.40,166.48
774,55,6.70,103.16
775,54,6.79,111.08
776,49,6.88,118.99
777,55,6.96,126.91
778,51,7.05,134.82
779,52,7.14,142.74
780,55,7.23,150.65
781,50,7.31,158.57
782,56,7.40,166.55
783,62,6.70,103.23
784,57,6.79,111.15
785,153,6.88,119.06
786,114,6.97,126.98
787,75,7.05,134.89
788,98,7.14,142.80
789,53,7.23,150.72
790,65,7.31,158.63
791,75,7.40,166.55
792,53,6.70,103.23
793,57,6.79,111.15
794,57,6.88,119.06
795,57,6.97,126.98
796,55,7.05,134.89
797,64,7.14,142.80
798,57,7.23,150.72
799,62,7.32,158.63
800,61,7.42,166.55
801,65,6.72,103.24
802,60,6.80,111.16
803,54,6.89,119.07
804,56,6.98,126.98
805,57,7.07,134.90
806,58,7.15,142.81
807,53,7.24,150.73
808,51,7.33,158.64
809,50,7.41,166.55
810,51,6.72,103.24
811,63,6.80,111.16
812,71,6.89,119.07
813,53,6.98,126.98
814,52,7.07,134.90
815,58,7.15,142.81
816,53,7.24,150.73
817,55,7.33,158.64
818,53,7.41,166.55
819,53,6.72,103.24
820,63,6.80,111.16
821,53,6.89,119.07
822,64,6.98,126.98
823,56,7.07,134.90
824,56,7.15,142.81
825,50,7.24,150.73
826,52,7.33,158.64
827,54,7.42,166.55
828,66,6.72,103.24
829,87,6.81,111.16
830,79,6.89,119.07
831,77,6.98,126.98
832,67,7.07,134.90
833,67,7.15,142.81
834,54,7.24,150.73
835,53,7.33,158.64
836,65,7.42,166.55
837,55,6.72,103.24
838,52,6.81,111.16
839,55,6.89,119.07
840,72,6.98,126.98
841,51,7.07,134.90
842,52,7.16,142.82
843,48,7.24,150.73
844,51,7.33,158.64
845,62,7.42,166.56
846,56,6.71,103.25
847,54,6.80,111.16
848,50,6.88,119.07
849,55,6.98,126.99
850,57,7.07,134.90
851,55,7.16,142.82
852,57,7.24,150.73
853,54,7.33,158.64
854,60,7.42,166.56
855,58,6.71,103.26
856,56,6.80,111.17
857,58,6.89,119.09
858,54,6.97,127.00
859,57,7.06,134.91
860,50,7.15,142.83
861,51,7.24,150.74
862,55,7.32,158.66
863,62,7.41,166.57
864,58,6.71,103.26
865,55,6.80,111.17
866,57,6.89,119.09
867,52,6.98,127.00
868,58,7.06,134.91
869,52,7.15,142.83
870,50,7.24,150.74
871,56,7.32,158.66
872,70,7.41,166.57
873,55,6.71,103.26
874,56,6.80,111.17
875,53,6.89,119.09
876,53,6.98,127.00
877,52,7.06,134.91
878,54,7.16,142.83
879,47,7.25,150.74
880,56,7.34,158.66
881,66,7.42,166.57
882,62,6.72,103.27
883,67,6.81,111.18
884,55,6.89,119.10
885,58,6.98,127.01
886,56,7.07,134.99
887,53,7.16,142.90
888,54,7.24,150.82
889,53,7.33,158.73
890,63,7.42,166.64
891,57,6.72,103.33
892,54,6.81,111.25
893,52,6.89,119.16
894,52,6.98,127.07
895,58,7.07,134.99
896,51,7.16,142.90
897,49,7.24,150.82
898,51,7.33,158.73
899,57,7.42,166.64
900,52,6.72,103.33
901,52,6.81,111.25
902,52,6.90,119.16
903,51,6.98,127.07
904,63,7.07,134.99
905,55,7.16,142.90
906,51,7.24,150.82
907,54,7.33,158.73
908,59,7.42,166.64
909,58,6.72,103.33
910,55,6.81,111.25
911,55,6.90,119.16
912,52,6.98,127.07
913,63,7.07,134.99
914,56,7.16,142.90
915,49,7.24,150.82
916,55,7.33,158.73
917,58,7.42,166.64
918,57,6.72,103.33
919,52,6.81,111.25
920,54,6.90,119.16
921,50,6.98,127.07
922,63,7.07,134.99
923,52,7.16,142.90
924,54,7.25,150.82
925,56,7.33,158.73
926,53,7.42,166.64
927,57,6.72,103.33
928,56,6.81,111.25
929,53,6.90,119.16
930,53,6.98,127.07
931,56,7.07,134.99
932,54,7.16,142.90
933,54,7.25,150.82
934,61,7.33,158.73
935,60,7.42,166.64
936,68,6.72,103.33
937,59,6.81,111.25
938,56,6.90,119.16
939,54,6.99,127.07
940,61,7.07,134.99
941,51,7.16,142.90
942,53,7.25,150.82
943,56,7.33,158.73
944,60,7.42,166.64
945,60,6.72,103.33
946,53,6.81,111.25
947,53,6.90,119.16
948,50,6.99,127.07
949,58,7.07,134.99
950,49,7.16,142.90
951,52,7.25,150.82
952,66,7.33,158.73
953,52,7.42,166.64
954,61,6.73,103.33
955,53,6.81,111.25
956,53,6.90,119.16
957,53,6.99,127.07
958,62,7.07,134.99
959,55,7.16,142.90
960,51,7.25,150.82
961,52,7.34,158.73
962,54,7.42,166.66
963,60,6.73,103.35
964,51,6.81,111.26
965,52,6.90,119.18
966,50,6.99,127.09
967,62,7.07,135.00
968,51,7.16,142.92
969,50,7.25,150.83
970,51,7.34,158.75
971,55,7.42,166.66
972,64,6.73,103.35
973,52,6.81,111.26
974,53,6.90,119.18
975,56,6.99,127.09
976,53,7.08,135.00
977,62,7.16,142.92
978,53,7.25,150.83
979,51,7.34,158.75
980,52,7.42,166.66
981,60,6.73,103.35
982,52,6.81,111.26
983,51,6.90,119.18
984,51,6.99,127.09
985,51,7.08,135.00
986,62,7.16,142.92
987,59,7.25,150.83
988,54,7.34,158.75
